"FIBX","FIBY","X","Y","One","Two","Three"
-0.003559765625,6.34375e-05,0.0035845,-0.002203375,-0.4667401,0.6623705,0.3420731
-0.0035596875,6.34375e-05,0.0035845,-0.002203375,1.068786,-0.01701666,0.1808077
-0.0035596875,6.34375e-05,0.0035845,-0.002203375,-0.5800856,0.2395054,0.2193977
-0.0035596875,6.34375e-05,0.0035845,-0.002203375,0.6093608,0.6471373,0.2941403
-0.003559765625,6.34375e-05,0.0035845,-0.002203375,0.4740927,-0.09501637,0.02279192
-0.0035596875,6.34375e-05,0.0035845,-0.002203375,-0.8640587,0.4168159,0.1036278
-0.0035596875,6.34375e-05,0.0035845,-0.002203375,0.9444856,0.2352401,0.1669965
-0.0035596875,6.34375e-05,0.0035845,-0.002203375,-0.1364545,-0.009095563,0.322575
-0.003559765625,6.34375e-05,0.0035845,-0.002203375,0.28033,0.7226925,0.3335428
-0.0035596875,6.34375e-05,0.0035845,-0.002203375,0.3631969,-0.05235965,0.1430301
-0.003559765625,6.34375e-05,0.0035845,-0.002203375,-0.2205495,0.4948089,0.3319179
-0.0035596875,6.34375e-05,0.0035845,-0.002203375,0.8859913,0.5813313,0.2173666
-0.0035596875,6.34375e-05,0.0035845,-0.002203375,-0.2985504,0.03538449,0.2726112
-0.0035596875,6.34375e-05,0.0035845,-0.002203375,0.7860629,0.9036599,0.2636745
-0.0035596875,6.34375e-05,0.0035845,-0.002203375,0.06463172,0.1292192,0.1332812
-0.0035596875,6.34375e-05,0.0035845,-0.002203375,-0.4959903,0.4363143,0.1186575
-0.003559765625,6.34375e-05,0.0035845,-0.002203375,1.531867,0.5679269,-0.01051732
-0.0035596875,6.34375e-05,0.0035845,-0.002203375,0.1828393,-0.177283,0.01791739
-0.0035596875,6.34375e-05,0.0035845,-0.002203375,0.06341314,0.8762402,0.02604162
-0.0035596875,6.34375e-05,0.0035845,-0.002203375,0.9054896,-0.03164065,0.04107142
-0.0035596875,6.34375e-05,0.0035845,-0.002203375,-0.7921509,0.2267097,0.0138553
-0.003559765625,6.34375e-05,0.0035845,-0.002203375,1.028572,0.7495026,0.03538447
-0.003559765625,6.34375e-05,0.0035845,-0.002203375,0.3717276,-0.1571733,0.01507393
-0.0035596875,6.34375e-05,0.0035845,-0.002203375,-0.03773448,0.7878893,0.03335338
-0.0035596875,6.34375e-05,0.0035845,-0.002203375,1.080972,0.2066022,0.2076176
-0.0035596875,6.34375e-05,0.0035845,-0.002203375,0.01832372,0.1925878,0.05569499
-0.0035596875,6.34375e-05,0.0035845,-0.002203375,-0.4874591,0.6623703,0.2149294
-0.003559765625,6.34375e-05,0.0035845,-0.002203375,0.3217636,-0.001174462,0.3030769
-0.0035596875,6.34375e-05,0.0035845,-0.002203375,-0.4557714,0.656277,-0.09501633
-0.003559765625,6.34375e-05,0.0035845,-0.002203375,0.8494319,0.3857412,-0.00279932
-0.0035596875,6.34375e-05,0.0035845,-0.002203375,-0.2851441,0.0006534859,0.1405929
-0.0035596875,6.34375e-05,0.0035845,-0.002203375,0.07681815,0.5088227,0.2791106
-0.0035596875,6.34375e-05,0.0035845,-0.002203375,0.3449175,-0.1925175,0.2644871
-0.0035596875,6.34375e-05,0.0035845,-0.002203375,-0.4545527,0.5740196,0.262456
-0.0035596875,6.34375e-05,0.0035845,-0.002203375,0.4107242,0.03660311,0.3656335
-0.0035596875,6.34375e-05,0.0035845,-0.002203375,-0.3375512,-0.1632672,0.3770074
-0.0035596875,6.34375e-05,0.0035845,-0.002203375,-0.3168318,0.8293232,0.1032215
-0.0035596875,6.34375e-05,0.0035845,-0.002203375,0.2352408,0.03538452,0.4318457
-0.0035596875,6.34375e-05,0.0035845,-0.002203375,-0.558148,0.4369238,0.1617158
-0.0035596875,6.34375e-05,0.0035845,-0.002203375,0.9030516,0.6069229,0.4988704
-0.003559765625,6.3515625e-05,0.0035845,-0.002203375,0.00979327,-0.2772217,0.4610926
-0.0035596875,6.34375e-05,0.0035845,-0.002203375,0.2084307,0.7440189,0.2579876
-0.0035596875,6.34375e-05,0.0035845,-0.002203375,0.2571759,-0.1504702,0.5139001
-0.003559765625,6.34375e-05,0.0035845,-0.002203375,-0.1657049,0.4381423,0.2202102
-0.0035596875,6.34375e-05,0.0035845,-0.002203375,0.9834813,0.6398261,0.2941403
-0.003559765625,6.34375e-05,0.0035845,-0.002203375,-0.08161004,-0.2272523,0.2360523
-0.003559765625,6.34375e-05,0.0035845,-0.002203375,-0.05114092,0.9067064,0.03457204
-0.0035596875,6.34375e-05,0.0035845,-0.002203375,0.5642718,-0.02250051,0.4485001
-0.0035596875,6.34375e-05,0.0035845,-0.002203375,-0.5727725,0.2705805,0.05813222
-0.0035596875,6.34375e-05,0.0035845,-0.002203375,0.9859186,0.7952013,0.2364586
-0.0035596875,6.34375e-05,0.0035845,-0.002203375,-0.1230481,-0.110251,0.320544
-0.0035596875,6.34375e-05,0.0035845,-0.002203375,-0.315613,0.7921549,-0.03042188
