V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21
0.3199613159,0.4200185792,0.595702043,0.4064380047,0.4394476855,0.43322001996,0.67250155162,1.1639765741,1.459753828,2.31274104,3.24610821,4.07040513,4.58291542,4.54764759,4.19072033,3.61281038,2.69222173,2.046247443,1.1440221476,0.856939128,0.58448749932
0.3124245224,0.4526515527,0.467687784,0.4978908361,0.4505671194,0.59565018007,0.85473735402,1.1888033523,1.632880347,2.34643617,3.15900872,3.94282276,4.45133194,4.58973512,4.21623443,3.62758413,2.63460111,1.899630156,1.305052032,0.85436372,0.64406455677
0.2762593735,0.4612441045,0.5361566016,0.5688405543,0.4569921342,0.57078498185,0.8015121104,0.9863849395,1.583944267,2.37464744,3.14684273,4.0512809,4.56347004,4.63733456,4.26704312,3.53785682,2.65895331,1.840067623,1.1063049088,0.8434773368,0.6692062597
0.4083014544,0.4521593942,0.4651200274,0.4952249385,0.4734103568,0.52508683957,0.72568737812,1.128469314,1.540869752,2.31346816,3.10151392,3.98906172,4.5725326,4.64790009,4.19065547,3.53928651,2.58146474,1.840997875,1.2516796106,0.7713384798,0.5775066891
0.3926219713,0.4298453749,0.538900894,0.5219626909,0.3784954937,0.6388405149,0.50332394276,1.0583604379,1.656184625,2.36050327,3.20718928,4.16159909,4.52021687,4.55521131,4.27372932,3.54683792,2.64545095,1.853858547,1.1085177464,0.7882693786,0.52748168248
0.3008887568,0.4875204071,0.5426618422,0.4752875383,0.4703216769,0.5268015733,0.7609011247,1.0850604739,1.508645212,2.31053134,3.07967194,4.05775984,4.46469211,4.56951808,4.20693638,3.56034418,2.57493304,1.73531032,1.1354675096,0.7921121186,0.66209506353
0.3497801181,0.4559500072,0.4328901186,0.5325533407,0.4867266336,0.59509468765,0.80691197102,0.968205075,1.737121809,2.45649861,3.21829909,4.08328606,4.50164496,4.67854863,4.11377632,3.57199041,2.65643075,1.724297904,1.1553268966,0.8351134316,0.63275085045
0.3733744969,0.4380009937,0.5569188946,0.4816976052,0.3752847865,0.54041193228,0.76875356462,1.1358284034,1.763667607,2.325553,3.07020731,4.0636742,4.58535249,4.6091436,4.29806939,3.64873966,2.64723817,1.801254418,1.2107707114,0.808214277,0.72780726039
0.4190843489,0.320656709,0.4534951042,0.4862835465,0.5475892475,0.55718447577,0.52083561496,1.1907819791,1.612204263,2.34702523,3.18890181,4.0013294,4.58109151,4.66519649,4.1944129,3.6360374,2.68547881,1.836468664,1.1661858076,0.811983891,0.59281875867
0.282033016,0.4730652098,0.4416577682,0.6074885956,0.3296092377,0.5697219067,0.75780562062,0.9678900732,1.552077101,2.46695852,3.18517674,4.01309699,4.44700187,4.68919941,4.25308588,3.51172108,2.69586147,1.92453083,1.1092008896,0.7929854896,0.65589605675
0.2672653018,0.4068034729,0.310207691,0.4097613745,0.6283223274,0.47288698168,0.803041874,1.1121663358,1.658963103,2.28571189,3.17377442,3.98926055,4.52111459,4.64029182,4.28299492,3.66999648,2.67668429,2.042628146,1.2071350034,0.8159769376,0.52340124295
0.3863759871,0.2980227198,0.5888168096,0.5329949801,0.4962201698,0.52645249242,0.6642267267,1.1685986676,1.684440466,2.38724804,3.20582435,4.08738461,4.49419528,4.65219796,4.23499329,3.57375738,2.64579616,1.847038203,1.0487379366,0.7896342224,0.58896289034
0.3645475823,0.4407994856,0.4457197986,0.5989176903,0.5021975274,0.49465805917,0.57117590864,1.1088448433,1.632916915,2.30307733,3.15755041,4.09509843,4.46612618,4.67704156,4.07564126,3.6061038,2.59731104,2.004176341,1.361901035,0.844407536,0.58446284089
0.2618726607,0.4087363746,0.5950005062,0.4954998036,0.4537305857,0.6789668614,0.6516098717,1.3381606049,1.570762706,2.39676953,3.09589608,4.0444727,4.47814984,4.68292779,4.1815847,3.65261098,2.56156869,1.810849057,1.181986517,0.782460583,0.63406656553
0.338107795,0.4051152997,0.2868642316,0.5472028124,0.4154723895,0.58882411817,0.7253307524,1.0732453454,1.741122967,2.35834619,3.09132211,3.98226187,4.46866898,4.619364,4.35808687,3.60797653,2.72435316,1.772860225,1.3171932366,0.902052706,0.72777673152
0.4364045871,0.3877003603,0.4434630108,0.672486063,0.5232889154,0.55750345588,0.71592316994,1.0628534564,1.529747835,2.36722995,3.11747795,4.05703665,4.47574095,4.64254649,4.2449939,3.52743723,2.70742209,1.783291767,1.3373177652,0.7786300508,0.61007487231
0.290569945,0.4108925798,0.456847537,0.5656282204,0.484201148,0.67464441268,0.7148869459,1.2492855713,1.462231676,2.44274451,3.1204147,4.06579879,4.44416219,4.61182855,4.26200206,3.57898937,2.6864496,1.755811662,1.3338321936,0.7930261028,0.61585099596
0.3424577552,0.4852487801,0.3857213556,0.5291173631,0.3778852074,0.59877874381,0.71833953852,1.0252898135,1.449184275,2.37699122,3.12392447,4.05501386,4.43112686,4.63103049,4.1404521,3.48876613,2.66821906,1.975717327,1.1993240898,0.8102331408,0.67373767888
0.320034363,0.3813968755,0.6825327636,0.4370938105,0.5794669388,0.6639713086,0.78080563002,1.1783354799,1.654701803,2.36387472,3.1549954,3.99280293,4.48539652,4.62447823,4.3067582,3.63819006,2.48670427,1.974336244,1.1245894506,0.786441431,0.61351738588
